,Period,Pair,Slope,Std_dev,start_time,end_time,Market_type,A_symbol,B_symbol
37,2025-01-20/2025-01-26,TUSD/USDT,-3.5232059273537044e-06,0.00021365030867601134,2025-01-20,2025-01-26 23:59:59.999999999,calm_market,TUSD,USDT
38,2025-01-27/2025-02-02,TUSD/USDT,-2.0890320779200603e-06,0.00016286788792169382,2025-01-27,2025-02-02 23:59:59.999999999,calm_market,TUSD,USDT
39,2025-02-03/2025-02-09,TUSD/USDT,-3.936931588326737e-06,0.00018219992888303805,2025-02-03,2025-02-09 23:59:59.999999999,calm_market,TUSD,USDT
40,2025-02-10/2025-02-16,TUSD/USDT,1.232118157748382e-05,0.00013498137323867692,2025-02-10,2025-02-16 23:59:59.999999999,calm_market,TUSD,USDT
41,2025-02-17/2025-02-23,TUSD/USDT,-8.68847781553056e-09,0.000145657300623092,2025-02-17,2025-02-23 23:59:59.999999999,calm_market,TUSD,USDT
42,2025-02-24/2025-03-02,TUSD/USDT,-3.4062082689234345e-06,0.00017193303846709202,2025-02-24,2025-03-02 23:59:59.999999999,calm_market,TUSD,USDT
43,2025-03-03/2025-03-09,TUSD/USDT,6.1432917301586454e-06,0.00016828952999965364,2025-03-03,2025-03-09 23:59:59.999999999,calm_market,TUSD,USDT
44,2025-03-10/2025-03-16,TUSD/USDT,1.0672050288443467e-05,0.00022767769608589958,2025-03-10,2025-03-16 23:59:59.999999999,calm_market,TUSD,USDT
45,2025-03-17/2025-03-23,TUSD/USDT,1.2896732822216012e-06,0.00014235628755786587,2025-03-17,2025-03-23 23:59:59.999999999,calm_market,TUSD,USDT
46,2025-03-24/2025-03-30,TUSD/USDT,-7.50370518441924e-06,0.00012022358403582443,2025-03-24,2025-03-30 23:59:59.999999999,calm_market,TUSD,USDT
47,2025-03-31/2025-04-06,TUSD/USDT,8.687227157354025e-06,0.00014163143369322383,2025-03-31,2025-04-06 23:59:59.999999999,calm_market,TUSD,USDT
48,2025-04-07/2025-04-13,TUSD/USDT,-1.1350164907050828e-06,0.0001079084507017086,2025-04-07,2025-04-13 23:59:59.999999999,calm_market,TUSD,USDT
49,2025-04-14/2025-04-20,TUSD/USDT,-1.4098721180815865e-06,0.00012665002790555264,2025-04-14,2025-04-20 23:59:59.999999999,calm_market,TUSD,USDT
50,2025-04-21/2025-04-27,TUSD/USDT,2.2563672149976936e-07,0.00013223500170791625,2025-04-21,2025-04-27 23:59:59.999999999,calm_market,TUSD,USDT
51,2025-04-28/2025-05-04,TUSD/USDT,-1.2662301708522983e-06,9.682148363774059e-05,2025-04-28,2025-05-04 23:59:59.999999999,calm_market,TUSD,USDT
52,2025-05-05/2025-05-11,TUSD/USDT,-1.5239233381561363e-09,7.313370048500468e-05,2025-05-05,2025-05-11 23:59:59.999999999,calm_market,TUSD,USDT
53,2025-05-12/2025-05-18,TUSD/USDT,1.225589226946745e-07,9.869638126193144e-05,2025-05-12,2025-05-18 23:59:59.999999999,calm_market,TUSD,USDT
54,2024-05-06/2024-05-12,USDC/USDT,3.112154355791581e-06,8.357799713159103e-05,2024-05-06,2024-05-12 23:59:59.999999999,calm_market,USDC,USDT
55,2024-05-13/2024-05-19,USDC/USDT,-4.266594536133368e-06,9.411671930174809e-05,2024-05-13,2024-05-19 23:59:59.999999999,calm_market,USDC,USDT
56,2024-05-20/2024-05-26,USDC/USDT,3.1452363880328003e-06,0.00012348987716623934,2024-05-20,2024-05-26 23:59:59.999999999,calm_market,USDC,USDT
57,2024-05-27/2024-06-02,USDC/USDT,-4.0483627368966396e-07,0.00013612481250277494,2024-05-27,2024-06-02 23:59:59.999999999,calm_market,USDC,USDT
58,2024-06-03/2024-06-09,USDC/USDT,-4.9380295737548546e-08,0.00010963428968105924,2024-06-03,2024-06-09 23:59:59.999999999,calm_market,USDC,USDT
59,2024-06-10/2024-06-16,USDC/USDT,3.6074118104643344e-06,0.0001013793844103098,2024-06-10,2024-06-16 23:59:59.999999999,calm_market,USDC,USDT
60,2024-06-17/2024-06-23,USDC/USDT,8.376939394242517e-07,9.964068062880505e-05,2024-06-17,2024-06-23 23:59:59.999999999,calm_market,USDC,USDT
61,2024-06-24/2024-06-30,USDC/USDT,9.103730964401322e-06,0.00013337321690443105,2024-06-24,2024-06-30 23:59:59.999999999,calm_market,USDC,USDT
