,Period,Pair,Slope,Std_dev,start_time,end_time,Market_type,A_symbol,B_symbol
38,2025-01-27/2025-02-02,ETH/BTC,9.080765098410444e-05,0.004519850073696946,2025-01-27,2025-02-02 23:59:59.999999999,calm_market,ETH,BTC
39,2025-02-03/2025-02-09,ETH/BTC,-7.647816512904218e-05,0.010547128839046125,2025-02-03,2025-02-09 23:59:59.999999999,volatile_market,ETH,BTC
40,2025-02-10/2025-02-16,ETH/BTC,0.00013630124939964874,0.003813223149368977,2025-02-10,2025-02-16 23:59:59.999999999,calm_market,ETH,BTC
41,2025-02-17/2025-02-23,ETH/BTC,0.00013543568707696926,0.004635641440051152,2025-02-17,2025-02-23 23:59:59.999999999,calm_market,ETH,BTC
42,2025-02-24/2025-03-02,ETH/BTC,-0.0005641594613658039,0.00733259650621529,2025-02-24,2025-03-02 23:59:59.999999999,bear_market,ETH,BTC
43,2025-03-03/2025-03-09,ETH/BTC,-5.363103521814461e-05,0.005374074848618076,2025-03-03,2025-03-09 23:59:59.999999999,volatile_market,ETH,BTC
44,2025-03-10/2025-03-16,ETH/BTC,-0.0004447475751028751,0.006033434593946573,2025-03-10,2025-03-16 23:59:59.999999999,bear_market,ETH,BTC
45,2025-03-17/2025-03-23,ETH/BTC,0.0001976954879063397,0.003573652595292391,2025-03-17,2025-03-23 23:59:59.999999999,calm_market,ETH,BTC
46,2025-03-24/2025-03-30,ETH/BTC,-0.0005423401654939282,0.0038060757011964337,2025-03-24,2025-03-30 23:59:59.999999999,bear_market,ETH,BTC
47,2025-03-31/2025-04-06,ETH/BTC,-0.0003056533944127632,0.004352599772221435,2025-03-31,2025-04-06 23:59:59.999999999,calm_market,ETH,BTC
48,2025-04-07/2025-04-13,ETH/BTC,-0.0002575195463433251,0.0071174029101392115,2025-04-07,2025-04-13 23:59:59.999999999,volatile_market,ETH,BTC
49,2025-04-14/2025-04-20,ETH/BTC,-0.00018422759362040427,0.003782301125030592,2025-04-14,2025-04-20 23:59:59.999999999,calm_market,ETH,BTC
50,2025-04-21/2025-04-27,ETH/BTC,0.0002495249919064462,0.00467503655600805,2025-04-21,2025-04-27 23:59:59.999999999,calm_market,ETH,BTC
51,2025-04-28/2025-05-04,ETH/BTC,2.993070941169895e-05,0.0027453831199205363,2025-04-28,2025-05-04 23:59:59.999999999,calm_market,ETH,BTC
52,2025-05-05/2025-05-11,ETH/BTC,-0.0004451085865229684,0.0028491079656370634,2025-05-05,2025-05-11 23:59:59.999999999,bear_market,ETH,BTC
53,2024-05-06/2024-05-12,ADA/BTC,9.873544778546766e-05,0.00438883739130252,2024-05-06,2024-05-12 23:59:59.999999999,calm_market,ADA,BTC
54,2024-05-13/2024-05-19,ADA/BTC,0.0001617218053636837,0.005035427127835444,2024-05-13,2024-05-19 23:59:59.999999999,calm_market,ADA,BTC
55,2024-05-20/2024-05-26,ADA/BTC,-0.0004243782842511567,0.005322648653544616,2024-05-20,2024-05-26 23:59:59.999999999,bear_market,ADA,BTC
56,2024-05-27/2024-06-02,ADA/BTC,-0.00012789813076332385,0.00322493682067677,2024-05-27,2024-06-02 23:59:59.999999999,calm_market,ADA,BTC
57,2024-06-03/2024-06-09,ADA/BTC,-0.00026649216343728216,0.004938805994561094,2024-06-03,2024-06-09 23:59:59.999999999,calm_market,ADA,BTC
58,2024-06-10/2024-06-16,ADA/BTC,-0.00015467815975685884,0.003812332067117085,2024-06-10,2024-06-16 23:59:59.999999999,calm_market,ADA,BTC
59,2024-06-17/2024-06-23,ADA/BTC,-3.870002167831646e-05,0.006663194496129894,2024-06-17,2024-06-23 23:59:59.999999999,volatile_market,ADA,BTC
60,2024-06-24/2024-06-30,ADA/BTC,0.0001544873612611802,0.005272502072630732,2024-06-24,2024-06-30 23:59:59.999999999,volatile_market,ADA,BTC
61,2024-07-01/2024-07-07,ADA/BTC,-0.0003068398602229489,0.008281207671552604,2024-07-01,2024-07-07 23:59:59.999999999,bear_market,ADA,BTC
62,2024-07-08/2024-07-14,ADA/BTC,0.0009503870853642892,0.006402604536124875,2024-07-08,2024-07-14 23:59:59.999999999,bull_market,ADA,BTC
63,2024-07-15/2024-07-21,ADA/BTC,-0.0005347385542826109,0.005493773548507213,2024-07-15,2024-07-21 23:59:59.999999999,bear_market,ADA,BTC
64,2024-07-22/2024-07-28,ADA/BTC,-0.00036189526781216794,0.004726077902181962,2024-07-22,2024-07-28 23:59:59.999999999,bear_market,ADA,BTC
