fee_algo_name,mean,std,ci_95_low,ci_95_high
FX_fee,23.2384,0.1931,23.2265,23.2504
DA_fee,22.4577,2.4062,22.3084,22.607
BA_fee,25.1152,1.8158,25.0025,25.2278
AMM_fee,29.673,1.4495,29.583,29.7629
OB_fee,33.2079,0.2922,33.1898,33.226
IMPROVED_FX_fee,23.2384,0.1931,23.2265,23.2504
IMPROVED_DA_fee,22.4577,2.4062,22.3084,22.607
IMPROVED_BA_fee,25.1152,1.8158,25.0025,25.2278
IMPROVED_AMM_fee,29.673,1.4495,29.583,29.7629
IMPROVED_OB_fee,33.2079,0.2922,33.1898,33.226
