fee_algo_name,mean,std,ci_95_low,ci_95_high
FX_fee,26.3562,0.1299,26.3482,26.3643
DA_fee,26.4768,0.7241,26.4319,26.5218
BA_fee,26.3178,0.6112,26.2798,26.3557
AMM_fee,27.9051,0.5706,27.8697,27.9405
OB_fee,30.2877,0.2073,30.2748,30.3006
IMPROVED_FX_fee,26.3562,0.1299,26.3482,26.3643
IMPROVED_DA_fee,27.0485,1.1252,26.9787,27.1184
IMPROVED_BA_fee,26.5996,0.6593,26.5586,26.6405
IMPROVED_AMM_fee,28.1767,0.5702,28.1414,28.2121
IMPROVED_OB_fee,30.2877,0.2073,30.2748,30.3006
