fee_algo_name,mean,std,ci_95_low,ci_95_high
FX_fee,26.6344,0.1293,26.6263,26.6424
DA_fee,26.7877,0.7264,26.7426,26.8327
BA_fee,26.57,0.6263,26.5311,26.6088
AMM_fee,27.8677,0.5394,27.8342,27.9012
OB_fee,30.0734,0.2154,30.0601,30.0868
IMPROVED_FX_fee,26.6344,0.1293,26.6263,26.6424
IMPROVED_DA_fee,27.3607,0.8493,27.308,27.4134
IMPROVED_BA_fee,26.8209,0.6713,26.7793,26.8626
IMPROVED_AMM_fee,28.1225,0.5443,28.0887,28.1563
IMPROVED_OB_fee,30.0734,0.2154,30.0601,30.0868
