random_seed,AMM_fee,BA_fee,DA_fee,FX_fee,IMPROVED_AMM_fee,IMPROVED_BA_fee,IMPROVED_DA_fee,IMPROVED_FX_fee,IMPROVED_OB_fee,OB_fee
164,24.87,21.05,16.51,18.45,24.87,21.05,16.51,18.46,32.05,32.05
165,26.66,21.07,16.04,18.58,26.66,21.07,16.04,18.6,32.3,32.3
166,25.74,19.95,17.76,18.42,25.74,19.95,17.76,18.46,31.98,31.98
167,26.67,20.14,18.26,18.54,26.67,20.14,18.26,18.54,31.94,31.94
168,27.52,21.17,23.29,18.3,27.52,21.17,23.29,18.33,31.62,31.62
169,26.01,21.75,16.79,18.65,26.01,21.75,16.79,18.65,31.89,31.89
17,25.93,22.31,16.56,18.54,25.93,22.31,16.56,18.56,31.93,31.93
170,28.05,22.17,16.23,18.43,28.05,22.17,16.23,18.44,31.96,31.96
171,26.43,19.64,19.07,18.58,26.43,19.64,19.07,18.58,31.96,31.96
172,26.28,20.01,18.47,18.61,26.28,20.01,18.47,18.61,32.19,32.19
173,26.25,21.9,16.3,18.19,26.25,21.9,16.3,18.2,31.89,31.89
174,27.44,22.69,16.22,18.43,27.44,22.69,16.22,18.43,32.07,32.07
175,25.47,18.2,18.14,18.34,25.47,18.2,18.14,18.34,31.77,31.77
176,26.36,20.84,16.9,17.92,26.36,20.84,16.9,17.94,31.61,31.61
177,24.33,19.18,17.8,18.31,24.33,19.18,17.8,18.31,31.89,31.89
178,25.8,22.59,15.76,18.54,25.8,22.59,15.76,18.58,31.99,31.99
179,26.92,18.59,17.37,18.25,26.92,18.59,17.37,18.25,31.79,31.79
18,26.92,22.12,16.81,18.63,26.92,22.12,16.81,18.63,32.18,32.18
180,26.6,20.94,17.14,18.48,26.6,20.94,17.14,18.49,32.07,32.07
181,25.65,21.39,21.92,18.55,25.65,21.39,21.92,18.55,32.13,32.13
182,26.0,22.4,16.89,18.58,26.0,22.4,16.89,18.58,32.22,32.22
183,29.91,22.49,17.44,18.75,29.91,22.49,17.44,18.75,32.44,32.44
184,27.19,23.56,16.42,18.84,27.19,23.56,16.42,18.85,32.2,32.2
185,27.83,23.01,16.33,18.6,27.83,23.01,16.33,18.6,32.14,32.14
186,26.22,19.67,21.37,18.58,26.22,19.67,21.37,18.58,31.95,31.95
187,27.6,21.99,14.93,18.49,27.6,21.99,14.93,18.5,32.12,32.12
188,27.28,22.67,15.49,18.69,27.28,22.67,15.49,18.7,32.2,32.2
189,28.71,23.09,24.39,18.65,28.71,23.09,24.39,18.65,32.16,32.16
19,26.27,21.04,16.97,18.39,26.27,21.04,16.97,18.41,31.79,31.79
190,26.35,19.33,17.64,18.23,26.35,19.33,17.64,18.24,32.16,32.16
191,26.65,22.03,16.59,18.45,26.65,22.03,16.59,18.45,32.14,32.14
192,25.54,19.58,17.36,18.1,25.54,19.58,17.36,18.11,31.52,31.52
193,27.31,21.06,16.96,18.37,27.31,21.06,16.96,18.37,32.15,32.15
194,26.87,23.76,16.78,18.98,26.87,23.76,16.78,18.98,32.38,32.38
195,26.9,23.78,16.02,18.57,26.9,23.78,16.02,18.57,31.96,31.96
