random_seed,AMM_fee,BA_fee,DA_fee,FX_fee,IMPROVED_AMM_fee,IMPROVED_BA_fee,IMPROVED_DA_fee,IMPROVED_FX_fee,IMPROVED_OB_fee,OB_fee
164,27.35,23.65,16.96,20.38,27.35,23.65,16.96,20.38,32.64,32.64
165,26.99,23.47,17.37,20.51,26.99,23.47,17.37,20.51,32.88,32.88
166,25.78,21.31,19.74,20.4,25.78,21.31,19.74,20.4,32.89,32.89
167,29.4,21.49,22.25,20.43,29.4,21.49,22.25,20.43,32.94,32.94
168,29.99,23.98,22.4,20.56,29.99,23.98,22.4,20.56,32.98,32.98
169,26.39,23.35,17.1,20.45,26.39,23.35,17.1,20.45,32.63,32.63
17,29.38,25.12,16.44,20.52,29.38,25.12,16.44,20.52,32.92,32.92
170,30.03,24.41,16.03,20.31,30.03,24.41,16.03,20.31,32.33,32.33
171,26.74,22.6,19.16,20.27,26.74,22.6,19.16,20.27,32.83,32.83
172,27.77,20.1,21.04,20.61,27.77,20.1,21.04,20.61,33.25,33.25
173,28.02,23.03,17.09,20.02,28.02,23.03,17.09,20.02,32.61,32.61
174,27.43,24.21,22.61,20.22,27.43,24.21,22.61,20.22,32.78,32.78
175,28.47,20.47,21.54,20.68,28.47,20.47,21.54,20.68,32.99,32.99
176,28.27,20.96,19.47,20.37,28.27,20.96,19.47,20.37,33.0,33.0
177,25.3,21.21,21.52,20.95,25.3,21.21,21.52,20.95,33.15,33.15
178,26.18,21.92,18.78,20.19,26.18,21.92,18.78,20.19,32.67,32.67
179,28.99,22.28,18.99,20.21,28.99,22.28,18.99,20.21,32.82,32.82
18,29.3,23.89,17.22,20.23,29.3,23.89,17.22,20.23,32.62,32.62
180,28.14,23.17,22.05,20.33,28.14,23.17,22.05,20.33,32.59,32.59
181,28.1,23.55,21.62,20.56,28.1,23.55,21.62,20.56,33.14,33.14
182,26.72,22.59,17.93,19.85,26.72,22.59,17.93,19.85,32.5,32.5
183,31.18,24.37,21.55,19.9,31.18,24.37,21.55,19.9,32.44,32.44
184,28.47,25.13,15.59,20.12,28.47,25.13,15.59,20.12,32.35,32.35
185,29.19,24.22,17.15,20.31,29.19,24.22,17.15,20.31,32.65,32.65
186,27.68,20.87,19.31,20.41,27.68,20.87,19.31,20.41,32.9,32.9
187,28.78,24.29,16.62,20.39,28.78,24.29,16.62,20.39,32.87,32.87
188,26.95,22.82,22.44,20.36,26.95,22.82,22.44,20.36,32.56,32.56
189,29.56,21.86,22.37,20.22,29.56,21.86,22.37,20.22,32.78,32.78
19,27.62,22.19,17.98,20.37,27.62,22.19,17.98,20.37,32.64,32.64
190,27.88,20.24,20.68,20.36,27.88,20.24,20.68,20.36,33.01,33.01
191,29.88,23.9,17.62,20.79,29.88,23.9,17.62,20.79,33.25,33.25
192,29.31,22.45,20.38,21.22,29.31,22.45,20.38,21.22,33.69,33.69
193,28.39,22.74,18.23,20.24,28.39,22.74,18.23,20.24,32.77,32.77
194,28.53,25.11,15.7,20.37,28.53,25.11,15.7,20.37,32.56,32.56
195,27.98,24.99,15.75,20.1,27.98,24.99,15.75,20.1,32.48,32.48
196,28.84,22.86,20.44,20.65,28.84,22.86,20.44,20.65,33.19,33.19
197,30.53,23.03,18.03,20.25,30.53,23.03,18.03,20.25,32.53,32.53
198,29.18,23.75,21.22,20.68,29.18,23.75,21.22,20.68,33.09,33.09
199,29.06,25.38,23.19,20.34,29.06,25.38,23.19,20.34,32.63,32.63
2,31.21,26.92,16.92,20.1,31.21,26.92,16.92,20.1,32.46,32.46
20,29.89,22.3,21.78,20.11,29.89,22.3,21.78,20.11,32.51,32.51
200,28.85,24.53,23.57,20.47,28.85,24.53,23.57,20.47,33.23,33.23
201,29.14,21.41,22.39,20.16,29.14,21.41,22.39,20.16,32.48,32.48
202,26.5,25.55,14.91,20.07,26.5,25.55,14.91,20.07,32.23,32.23
203,25.66,21.91,20.53,20.71,25.66,21.91,20.53,20.71,32.52,32.52
204,28.98,22.41,17.8,20.25,28.98,22.41,17.8,20.25,32.87,32.87
205,29.57,24.13,15.36,19.69,29.57,24.13,15.36,19.69,32.67,32.67
206,26.27,21.16,21.88,20.48,26.27,21.16,21.88,20.48,32.78,32.78
207,29.03,22.05,19.57,20.42,29.03,22.05,19.57,20.42,33.12,33.12
208,29.29,23.3,22.81,20.67,29.29,23.3,22.81,20.67,32.95,32.95
209,30.3,23.96,15.69,20.35,30.3,23.96,15.69,20.35,33.18,33.18
21,25.42,23.6,20.84,20.07,25.42,23.6,20.84,20.07,32.39,32.39
210,26.02,22.86,17.92,20.11,26.02,22.86,17.92,20.11,32.56,32.56
211,27.01,21.59,20.7,20.54,27.01,21.59,20.7,20.54,32.67,32.67
212,27.78,22.68,18.25,20.43,27.78,22.68,18.25,20.43,32.57,32.57
213,27.72,21.38,21.36,20.42,27.72,21.38,21.36,20.42,32.96,32.96
214,27.58,24.47,16.88,20.41,27.58,24.47,16.88,20.41,33.08,33.08
215,27.47,23.81,21.81,20.39,27.47,23.81,21.81,20.39,33.0,33.0
216,29.53,21.99,19.36,20.23,29.53,21.99,19.36,20.23,33.06,33.06
217,28.86,24.03,15.51,19.86,28.86,24.03,15.51,19.86,32.39,32.39
218,27.49,22.28,21.85,20.47,27.49,22.28,21.85,20.47,32.69,32.69
219,29.34,22.73,22.39,20.52,29.34,22.73,22.39,20.52,32.91,32.91
22,27.14,24.01,16.45,20.26,27.14,24.01,16.45,20.26,32.5,32.5
220,27.45,22.55,19.49,20.23,27.45,22.55,19.49,20.23,32.92,32.92
221,26.8,21.33,18.58,20.08,26.8,21.33,18.58,20.08,32.53,32.53
222,28.12,23.97,17.66,20.59,28.12,23.97,17.66,20.59,32.85,32.85
223,30.75,24.74,23.26,20.76,30.75,24.74,23.26,20.76,33.49,33.49
224,28.17,27.19,23.91,20.27,28.17,27.19,23.91,20.27,32.71,32.71
225,27.81,22.1,17.63,19.84,27.81,22.1,17.63,19.84,32.61,32.61
226,27.22,20.98,20.61,20.64,27.22,20.98,20.61,20.64,33.08,33.08
227,27.86,22.82,17.7,20.19,27.86,22.82,17.7,20.19,32.47,32.47
228,26.63,22.2,18.64,20.49,26.63,22.2,18.64,20.49,32.86,32.86
229,26.46,23.08,17.74,20.53,26.46,23.08,17.74,20.53,32.92,32.92
23,29.3,22.05,20.92,21.14,29.3,22.05,20.92,21.14,33.63,33.63
230,29.75,25.47,23.2,20.12,29.75,25.47,23.2,20.12,32.55,32.55
231,28.86,23.16,22.09,20.37,28.86,23.16,22.09,20.37,32.68,32.68
232,29.29,22.71,22.16,20.38,29.29,22.71,22.16,20.38,32.8,32.8
233,26.92,20.25,20.89,20.2,26.92,20.25,20.89,20.2,32.78,32.78
234,25.44,20.18,20.71,20.6,25.44,20.18,20.71,20.6,32.6,32.6
235,26.38,22.07,22.53,20.35,26.38,22.07,22.53,20.35,32.57,32.57
236,26.57,20.54,20.08,20.36,26.57,20.54,20.08,20.36,32.96,32.96
237,28.16,22.45,19.87,20.78,28.16,22.45,19.87,20.78,33.05,33.05
238,28.17,22.09,21.94,20.66,28.17,22.09,21.94,20.66,33.04,33.04
239,27.84,23.03,17.45,20.42,27.84,23.03,17.45,20.42,32.9,32.9
