fee_algo_name,lp_yield,density
FX_fee,25.99,0.06331247093959262
FX_fee,25.991583166332664,0.06714988787308897
FX_fee,25.99316633266533,0.07114677810483122
FX_fee,25.994749498997994,0.07530395001231308
FX_fee,25.99633266533066,0.07962171641351258
FX_fee,25.997915831663324,0.08409987180201325
FX_fee,25.99949899799599,0.08873767321705459
FX_fee,26.001082164328654,0.09353382513846746
FX_fee,26.002665330661323,0.09848646875182765
FX_fee,26.004248496993988,0.10359317587815413
FX_fee,26.005831663326653,0.10885094780676095
FX_fee,26.007414829659318,0.11425621920832336
FX_fee,26.008997995991983,0.11980486724313379
FX_fee,26.010581162324648,0.1254922259140978
FX_fee,26.012164328657313,0.13131310565064225
FX_fee,26.01374749498998,0.13726181804691842
FX_fee,26.015330661322643,0.14333220561845303
FX_fee,26.01691382765531,0.1495176763870988
FX_fee,26.018496993987974,0.15581124305402383
FX_fee,26.02008016032064,0.16220556647818632
FX_fee,26.021663326653304,0.16869300314100147
FX_fee,26.02324649298597,0.17526565624874962
FX_fee,26.024829659318637,0.1819154301027614
FX_fee,26.026412825651303,0.18863408735112622
FX_fee,26.027995991983968,0.19541330872783644
FX_fee,26.029579158316633,0.20224475487991367
FX_fee,26.031162324649298,0.20912012988489878
FX_fee,26.032745490981963,0.21603124606369442
FX_fee,26.034328657314628,0.22297008969901028
FX_fee,26.035911823647293,0.2299288872757314
FX_fee,26.037494989979958,0.23690017186320222
FX_fee,26.039078156312623,0.24387684926259956
FX_fee,26.04066132264529,0.2508522635410769
FX_fee,26.042244488977953,0.257820261569256
FX_fee,26.04382765531062,0.26477525616948927
FX_fee,26.045410821643284,0.2717122874667879
FX_fee,26.046993987975952,0.2786270820159853
FX_fee,26.048577154308617,0.28551610925401516
FX_fee,26.050160320641282,0.29237663480055043
FX_fee,26.051743486973947,0.29920677010018865
FX_fee,26.053326653306613,0.3060055178705495
FX_fee,26.054909819639278,0.3127728127928998
FX_fee,26.056492985971943,0.31950955685661514
FX_fee,26.058076152304608,0.32621764875084813
FX_fee,26.059659318637273,0.3329000066852714
FX_fee,26.061242484969938,0.3395605840210037
FX_fee,26.062825651302603,0.3462043771047147
FX_fee,26.064408817635268,0.35283742472337787
FX_fee,26.065991983967933,0.3594667986388292
FX_fee,26.0675751503006,0.3661005847175325
FX_fee,26.069158316633267,0.37274785424598844
FX_fee,26.070741482965932,0.3794186251128109
FX_fee,26.072324649298597,0.3861238126463326
FX_fee,26.073907815631262,0.39287517001961036
FX_fee,26.075490981963927,0.3996852182706386
FX_fee,26.077074148296592,0.40656716613379146
FX_fee,26.078657314629258,0.4135348200340511
FX_fee,26.080240480961923,0.42060248475682377
FX_fee,26.081823647294588,0.42778485546954936
FX_fee,26.083406813627253,0.4350969019312578
